iter	Logloss
0	0.6533033606
1	0.6187297677
2	0.5933328707
3	0.5745183275
4	0.5578051159
5	0.5444940256
6	0.5352457416
7	0.5265214683
8	0.5202496783
9	0.5143328867
10	0.5123837979
11	0.5080553967
12	0.5051879001
13	0.5019187994
14	0.5000616641
15	0.4987490589
16	0.4973993692
17	0.4961282323
18	0.4944705452
19	0.4938801044
20	0.4931396234
21	0.4918689599
22	0.4915411383
23	0.4911714157
24	0.4903570133
25	0.4897325495
26	0.4892729885
27	0.4886393637
28	0.4882246392
29	0.4878445953
30	0.4874091445
31	0.4870281544
32	0.4866142991
33	0.4864119781
34	0.4861604577
35	0.4857858466
36	0.4853825775
37	0.485109131
38	0.4846129194
39	0.4841283256
40	0.4837195548
41	0.483448741
42	0.48320573
43	0.4828018919
44	0.4825451249
45	0.4822368223
46	0.4819907132
47	0.4816539976
48	0.4812728128
49	0.480929915
50	0.4806916659
51	0.4804679193
52	0.4801382714
53	0.479676641
54	0.4792187158
55	0.4789465057
56	0.4786096439
57	0.4785303154
58	0.4783388404
59	0.4781127017
60	0.4777350138
61	0.4774377846
62	0.4771111236
63	0.4768428625
64	0.4765342096
65	0.4763082021
66	0.4759560335
67	0.4757827141
68	0.4755465925
69	0.4753688507
70	0.4750532751
71	0.4750437087
72	0.474723807
73	0.4744913929
74	0.4740741583
75	0.4737295426
76	0.4733993401
77	0.4732060293
78	0.4728365421
79	0.4724739363
80	0.4721550286
81	0.4717902392
82	0.4717653229
83	0.4715550776
84	0.4712057134
85	0.4710766249
86	0.4709079982
87	0.4706955465
88	0.4705340573
89	0.4701675302
90	0.4699160554
91	0.4696233171
92	0.4694119697
93	0.4691899107
94	0.4690119608
95	0.4687712192
96	0.4685758143
97	0.4685437016
98	0.4681722638
99	0.4678442815
100	0.4677316318
101	0.467424198
102	0.4672432019
103	0.4670225259
104	0.4668752383
105	0.4666240462
106	0.4663928765
107	0.4662518467
108	0.4660618538
109	0.4657608611
110	0.4655718152
111	0.465343506
112	0.4651201665
113	0.4649043441
114	0.4647975189
115	0.4646314497
116	0.464452504
117	0.4642581314
118	0.4640390921
119	0.4637536609
120	0.4636356634
121	0.4634646814
122	0.4631954914
123	0.4630098607
124	0.462782017
125	0.4624888799
126	0.4623143117
127	0.4621142431
128	0.4619320883
129	0.4615612256
130	0.461314741
131	0.4611006742
132	0.4608482597
133	0.4604186898
134	0.4600316432
135	0.4598306534
136	0.4596632728
137	0.4595739866
138	0.4593922854
139	0.4590578234
140	0.4587496288
141	0.4585009341
142	0.4583073092
143	0.4581411381
144	0.4578269678
145	0.4576004714
146	0.4573652727
147	0.4571036927
148	0.4569013875
149	0.4566986622
150	0.4565251661
151	0.4562682047
152	0.4560903986
153	0.455813631
154	0.4555803839
155	0.4553362429
156	0.4551366274
157	0.45497026
158	0.4547255449
159	0.4545433304
160	0.4542459667
161	0.453899028
162	0.4537519299
163	0.4535337464
164	0.4533254674
165	0.4529313016
166	0.4526851021
167	0.4524420469
168	0.4522569558
169	0.4520571609
170	0.4518946631
171	0.4516600054
172	0.4514015432
173	0.4512359762
174	0.4511303837
175	0.4507901046
176	0.4504051065
177	0.450302441
178	0.4500285293
179	0.4497919618
180	0.4495516742
181	0.4493382234
182	0.4490182572
183	0.4487543931
184	0.4485614694
185	0.4482258982
186	0.4480325584
187	0.4477470026
188	0.4474979478
189	0.4472408437
190	0.4470362126
191	0.4468820349
192	0.4467440425
193	0.4465538064
194	0.4463379872
195	0.4462314913
196	0.4460497703
197	0.4458003994
198	0.4456862916
199	0.4454392097
200	0.4452027811
201	0.4450130168
202	0.4448250516
203	0.4446129186
204	0.4442679475
205	0.4440793451
206	0.4437795827
207	0.4436598784
208	0.4434035449
209	0.4432288351
210	0.4430373762
211	0.4426614617
212	0.4424877167
213	0.442198801
214	0.4419561147
215	0.441700001
216	0.4414506115
217	0.4412347796
218	0.4409809531
219	0.4407067482
220	0.4405588994
221	0.4403402288
222	0.4400839394
223	0.4398733917
224	0.439522717
225	0.4393071523
226	0.4390528447
227	0.4388035103
228	0.4385499148
229	0.4383057594
230	0.4381952594
231	0.43800277
232	0.4379087431
233	0.4375360504
234	0.4374115905
235	0.4371351244
236	0.4369876028
237	0.4367489038
238	0.4365455868
239	0.4362758615
240	0.4360322194
241	0.4358260669
242	0.4355942078
243	0.4354486358
244	0.4352842152
245	0.4351223503
246	0.4348263415
247	0.4346749301
248	0.4344453692
249	0.4342670876
250	0.433969934
251	0.433735336
252	0.4335059965
253	0.4332470072
254	0.4329672778
255	0.4328161332
256	0.4325493116
257	0.4323407063
258	0.4320090154
259	0.4317439718
260	0.4315435201
261	0.4313158804
262	0.4311382596
263	0.4309978513
264	0.4307562803
265	0.4304602882
266	0.4300759558
267	0.4296780749
268	0.429377911
269	0.4291963057
270	0.428985649
271	0.4287447207
272	0.4285276818
273	0.4284130183
274	0.428089358
275	0.4278661473
276	0.4275630846
277	0.4273914095
278	0.4271507079
279	0.4268752013
280	0.4267052059
281	0.4265192679
282	0.4262906468
283	0.4259347246
284	0.4257592163
285	0.4256301251
286	0.4253967407
287	0.4251648462
288	0.4249237773
289	0.4246913182
290	0.4244420897
291	0.4243605973
292	0.4240340952
293	0.4238058881
294	0.4235048902
295	0.4232723175
296	0.4230553625
297	0.4227194296
298	0.4225481106
299	0.4223705868
300	0.4221999318
301	0.4220335591
302	0.4218454911
303	0.4216168552
304	0.4213311635
305	0.4211290497
306	0.4209679736
307	0.4207301007
308	0.4206222128
309	0.4203130903
310	0.4200606983
311	0.4198834117
312	0.4195821363
313	0.4193069526
314	0.4190695527
315	0.4188037603
316	0.4186092695
317	0.4183978032
318	0.4182709119
319	0.4181613619
320	0.4178929374
321	0.4176308556
322	0.417444255
323	0.4172029547
324	0.4169642969
325	0.4166846503
326	0.4164156566
327	0.4162203011
328	0.4160048402
329	0.4157794834
330	0.4155760276
331	0.4154159085
332	0.4152160513
333	0.4150306659
334	0.4148606865
335	0.4146152592
336	0.4143257447
337	0.4140895309
338	0.4138535461
339	0.4136852956
340	0.4133826456
341	0.4131348087
342	0.4130614986
343	0.4129171024
344	0.4128163093
345	0.4125574179
346	0.412254669
347	0.4119949966
348	0.4117638119
349	0.4115322242
350	0.4112443953
351	0.4110313035
352	0.4108405413
353	0.4106574782
354	0.4105454316
355	0.4103731861
356	0.4101351349
357	0.409922063
358	0.4098151479
359	0.4096216352
360	0.4094329767
361	0.4091316868
362	0.4089256205
363	0.4086322808
364	0.4083543442
365	0.4081335831
366	0.4079366163
367	0.40770544
368	0.4075112809
369	0.4073858275
370	0.4071271431
371	0.4068750335
372	0.4067203611
373	0.4066099811
374	0.4064559449
375	0.4062894102
376	0.4060764353
377	0.4058957664
378	0.4056379823
379	0.4054434071
380	0.4052026642
381	0.4050804895
382	0.4049031664
383	0.4046772501
384	0.4044601313
385	0.4042972767
386	0.4040571173
387	0.4039065827
388	0.4035656022
389	0.4033826779
390	0.4032592905
391	0.4030757363
392	0.4028420282
393	0.4026493177
394	0.4024718115
395	0.4023321895
396	0.4020461307
397	0.401898075
398	0.4017383538
399	0.4014696412
400	0.4013312295
401	0.4011548696
402	0.4009896095
403	0.4008163904
404	0.4006308302
405	0.4004638778
406	0.4003683305
407	0.4002438119
408	0.4000278097
409	0.3998156878
410	0.3995623759
411	0.399440541
412	0.3991968721
413	0.3990192527
414	0.3988278295
415	0.3986521683
416	0.3984703405
417	0.3983091121
418	0.3981192952
419	0.3979843612
420	0.3977515606
421	0.397493978
422	0.3972998399
423	0.3971057857
424	0.3969718775
425	0.3967479387
426	0.3965927054
427	0.3964641093
428	0.3962937959
429	0.3960756075
430	0.3959460824
431	0.3957538825
432	0.3955487004
433	0.3952809254
434	0.395120555
435	0.3949505211
436	0.3947906913
437	0.3946365888
438	0.394300836
439	0.3941506011
440	0.3939540262
441	0.3936972291
442	0.3934944549
443	0.3933050172
444	0.39300394
445	0.3927758999
446	0.3927000584
447	0.3925655833
448	0.3923431292
449	0.3921053411
450	0.3919127477
451	0.3916054375
452	0.3914121212
453	0.3912683577
454	0.3910765264
455	0.3909635981
456	0.3908143708
457	0.3905180523
458	0.3902500372
459	0.3900263282
460	0.3898628712
461	0.3896021618
462	0.3893793225
463	0.3891963505
464	0.3891040494
465	0.3889834874
466	0.3888004688
467	0.38853361
468	0.3883895751
469	0.3883235003
470	0.3881384459
471	0.387976695
472	0.3878527711
473	0.387625682
474	0.3874692457
475	0.3873435848
476	0.3871972521
477	0.3870433786
478	0.3868592663
479	0.386666811
480	0.3864590726
481	0.3862470755
482	0.3861100831
483	0.3859283962
484	0.3857726016
485	0.3856701492
486	0.3854067183
487	0.3851814093
488	0.3849558488
489	0.3848194866
490	0.3846629403
491	0.3845200015
492	0.384329588
493	0.3841333866
494	0.3838028004
495	0.3836334917
496	0.3834336602
497	0.3832987649
498	0.3831803461
499	0.3830248604
