iter	Passed	Remaining
0	9	4782
1	14	3668
2	20	3317
3	26	3306
4	35	3489
5	40	3362
6	46	3304
7	52	3253
8	58	3199
9	63	3112
10	68	3059
11	73	3000
12	79	2965
13	84	2934
14	90	2912
15	94	2862
16	100	2865
17	107	2871
18	112	2835
19	117	2816
20	122	2784
21	127	2763
22	132	2755
23	137	2733
24	142	2704
25	147	2696
26	153	2682
27	158	2668
28	163	2659
29	169	2647
30	175	2647
31	180	2633
32	185	2620
33	190	2611
34	195	2599
35	200	2586
36	205	2570
37	210	2558
38	215	2544
39	219	2527
40	225	2519
41	230	2511
42	235	2501
43	240	2494
44	245	2486
45	250	2475
46	255	2464
47	260	2455
48	266	2452
49	271	2447
50	278	2448
51	283	2439
52	287	2427
53	293	2423
54	299	2420
55	304	2410
56	308	2400
57	313	2387
58	317	2376
59	323	2370
60	328	2363
61	333	2354
62	337	2342
63	343	2338
64	348	2334
65	354	2332
66	360	2327
67	364	2316
68	369	2305
69	374	2303
70	380	2296
71	383	2277
72	387	2269
73	392	2261
74	397	2253
75	402	2245
76	407	2238
77	412	2230
78	417	2223
79	422	2218
80	427	2212
81	432	2204
82	435	2187
83	440	2180
84	445	2173
85	450	2166
86	456	2166
87	462	2163
88	467	2156
89	471	2149
90	477	2145
91	482	2137
92	487	2131
93	492	2127
94	497	2120
95	502	2115
96	507	2108
97	510	2094
98	515	2089
99	521	2084
100	526	2080
101	531	2073
102	536	2067
103	541	2060
104	545	2053
105	550	2047
106	555	2041
107	560	2034
108	564	2026
109	569	2020
110	574	2012
111	579	2006
112	584	2000
113	589	1996
114	594	1991
115	599	1984
116	604	1977
117	608	1970
118	613	1964
119	618	1958
120	622	1951
121	627	1943
122	632	1937
123	636	1931
124	641	1924
125	646	1918
126	651	1912
127	656	1906
128	660	1900
129	665	1894
130	670	1888
131	676	1884
132	680	1878
133	685	1872
134	691	1869
135	695	1862
136	700	1856
137	705	1849
138	709	1843
139	714	1837
140	719	1830
141	723	1824
142	728	1818
143	732	1811
144	737	1806
145	742	1800
146	747	1795
147	752	1789
148	757	1783
149	762	1778
150	766	1771
151	772	1768
152	777	1764
153	782	1758
154	787	1751
155	791	1745
156	796	1739
157	801	1733
158	805	1727
159	810	1722
160	816	1719
161	821	1714
162	826	1708
163	831	1702
164	836	1699
165	842	1694
166	848	1691
167	852	1685
168	857	1679
169	862	1674
170	867	1668
171	871	1662
172	877	1657
173	882	1653
174	887	1648
175	893	1644
176	898	1639
177	902	1633
178	907	1628
179	913	1624
180	919	1620
181	924	1615
182	929	1609
183	934	1604
184	939	1599
185	944	1594
186	949	1589
187	954	1583
188	959	1578
189	963	1572
190	968	1566
191	973	1561
192	978	1555
193	983	1550
194	988	1546
195	993	1540
196	999	1537
197	1004	1531
198	1009	1526
199	1014	1522
200	1019	1517
201	1025	1512
202	1031	1509
203	1037	1504
204	1041	1499
205	1046	1493
206	1051	1488
207	1056	1482
208	1061	1477
209	1065	1471
210	1070	1466
211	1075	1460
212	1079	1455
213	1085	1450
214	1090	1445
215	1095	1439
216	1099	1434
217	1104	1428
218	1108	1422
219	1113	1416
220	1117	1411
221	1122	1405
222	1127	1400
223	1132	1395
224	1137	1389
225	1141	1384
226	1146	1379
227	1152	1374
228	1157	1369
229	1162	1365
230	1168	1360
231	1173	1355
232	1179	1351
233	1185	1347
234	1189	1341
235	1194	1336
236	1199	1331
237	1204	1325
238	1232	1345
239	1242	1345
240	1252	1346
241	1258	1341
242	1263	1336
243	1270	1333
244	1275	1327
245	1282	1323
246	1287	1318
247	1293	1314
248	1299	1309
249	1305	1305
250	1312	1302
251	1320	1299
252	1325	1294
253	1331	1289
254	1336	1284
255	1341	1278
256	1347	1273
257	1352	1268
258	1357	1263
259	1363	1258
260	1367	1252
261	1373	1247
262	1379	1242
263	1384	1237
264	1389	1231
265	1394	1226
266	1399	1221
267	1405	1216
268	1411	1212
269	1416	1206
270	1422	1202
271	1428	1197
272	1433	1191
273	1438	1186
274	1443	1181
275	1449	1176
276	1454	1171
277	1460	1166
278	1465	1160
279	1470	1155
280	1476	1151
281	1483	1146
282	1489	1142
283	1494	1136
284	1500	1132
285	1506	1127
286	1511	1121
287	1516	1116
288	1521	1110
289	1526	1105
290	1531	1099
291	1535	1094
292	1541	1088
293	1546	1083
294	1550	1077
295	1555	1072
296	1562	1067
297	1567	1062
298	1574	1058
299	1580	1053
300	1586	1048
301	1591	1043
302	1596	1037
303	1601	1032
304	1606	1027
305	1610	1021
306	1615	1015
307	1620	1010
308	1625	1004
309	1630	999
310	1635	993
311	1640	988
312	1645	983
313	1651	978
314	1656	972
315	1662	967
316	1668	963
317	1673	957
318	1677	951
319	1682	946
320	1687	941
321	1692	935
322	1697	930
323	1702	925
324	1708	920
325	1713	914
326	1719	909
327	1724	904
328	1729	899
329	1734	893
330	1740	888
331	1745	883
332	1750	877
333	1756	872
334	1760	867
335	1765	861
336	1770	856
337	1775	851
338	1780	845
339	1785	840
340	1790	834
341	1794	829
342	1799	823
343	1804	818
344	1809	812
345	1814	807
346	1819	802
347	1824	796
348	1829	791
349	1834	786
350	1839	781
351	1844	775
352	1849	770
353	1854	764
354	1859	759
355	1865	754
356	1871	749
357	1879	745
358	1885	740
359	1891	735
360	1897	730
361	1902	725
362	1909	720
363	1915	715
364	1921	710
365	1929	706
366	1935	701
367	1941	696
368	1947	691
369	1954	686
370	1960	681
371	1965	676
372	1972	671
373	1979	666
374	1986	662
375	1992	657
376	1997	651
377	2003	646
378	2008	641
379	2013	635
380	2018	630
381	2023	625
382	2029	619
383	2034	614
384	2040	609
385	2045	604
386	2051	598
387	2056	593
388	2061	588
389	2067	583
390	2072	577
391	2077	572
392	2083	567
393	2088	561
394	2093	556
395	2098	551
396	2103	545
397	2109	540
398	2113	535
399	2118	529
400	2124	524
401	2128	518
402	2133	513
403	2138	508
404	2143	502
405	2148	497
406	2152	491
407	2157	486
408	2162	481
409	2167	475
410	2173	470
411	2179	465
412	2185	460
413	2191	455
414	2196	449
415	2201	444
416	2206	439
417	2211	433
418	2216	428
419	2221	423
420	2226	417
421	2231	412
422	2236	407
423	2241	401
424	2247	396
425	2253	391
426	2257	385
427	2262	380
428	2268	375
429	2273	370
430	2278	364
431	2283	359
432	2288	354
433	2293	348
434	2298	343
435	2303	338
436	2308	332
437	2314	327
438	2320	322
439	2326	317
440	2332	312
441	2337	306
442	2342	301
443	2347	296
444	2353	290
445	2358	285
446	2363	280
447	2370	275
448	2375	269
449	2380	264
450	2385	259
451	2390	253
452	2395	248
453	2400	243
454	2405	237
455	2410	232
456	2416	227
457	2422	222
458	2427	216
459	2432	211
460	2437	206
461	2442	200
462	2448	195
463	2453	190
464	2458	185
465	2464	179
466	2469	174
467	2474	169
468	2480	163
469	2486	158
470	2491	153
471	2496	148
472	2501	142
473	2506	137
474	2511	132
475	2516	126
476	2521	121
477	2526	116
478	2531	110
479	2537	105
480	2542	100
481	2547	95
482	2552	89
483	2557	84
484	2563	79
485	2568	73
486	2573	68
487	2578	63
488	2584	58
489	2590	52
490	2595	47
491	2600	42
492	2605	37
493	2612	31
494	2616	26
495	2621	21
496	2626	15
497	2632	10
498	2638	5
499	2644	0
